time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0009,0.0,0.0,0.0,14.16,3.97,0.0
20140101:0109,0.0,0.0,0.0,14.25,4.2,0.0
20140101:0209,0.0,0.0,0.0,14.35,4.43,0.0
20140101:0309,0.0,0.0,0.0,14.44,4.66,0.0
20140101:0409,0.0,0.0,0.0,14.49,4.5,0.0
20140101:0509,0.0,0.0,0.0,14.53,4.34,0.0
20140101:0609,851760.0,42.95,6.39,14.57,4.18,0.0
20140101:0709,4255200.0,155.91,15.93,14.55,3.35,0.0
20140101:0809,1436040.0,63.38,23.8,14.53,2.52,0.0
20140101:0909,3675600.0,138.11,29.34,14.51,1.7,0.0
20140101:1009,1352880.0,60.54,31.84,14.62,1.93,0.0
20140101:1109,5252400.0,189.3,30.93,14.72,2.17,0.0
20140101:1209,4924800.0,178.49,26.75,14.83,2.4,0.0
20140101:1309,4392360.0,161.1,19.89,15.14,2.38,0.0
20140101:1409,3351960.0,128.09,11.06,15.45,2.36,0.0
20140101:1509,0.0,0.0,0.0,15.76,2.34,0.0
20140101:1609,0.0,0.0,0.0,15.82,2.61,0.0
20140101:1709,0.0,0.0,0.0,15.88,2.87,0.0
20140101:1809,0.0,0.0,0.0,15.93,3.13,0.0
20140101:1909,0.0,0.0,0.0,15.89,3.49,0.0
20140101:2009,0.0,0.0,0.0,15.84,3.86,0.0
20140101:2109,0.0,0.0,0.0,15.79,4.22,0.0
20140101:2209,0.0,0.0,0.0,15.68,3.88,0.0
20140101:2309,0.0,0.0,0.0,15.56,3.53,0.0
20140102:0009,0.0,0.0,0.0,15.45,3.19,0.0
20140102:0109,0.0,0.0,0.0,15.41,3.88,0.0
20140102:0209,0.0,0.0,0.0,15.36,4.57,0.0
20140102:0309,0.0,0.0,0.0,15.32,5.27,0.0
20140102:0409,0.0,0.0,0.0,15.39,5.06,0.0
20140102:0509,0.0,0.0,0.0,15.45,4.85,0.0
20140102:0609,3085200.0,122.13,6.37,15.51,4.63,0.0
20140102:0709,14294520.0,482.46,15.93,15.61,4.3,0.0
20140102:0809,10510200.0,356.99,23.82,15.7,3.96,0.0
20140102:0909,12007080.0,407.16,29.39,15.8,3.63,0.0
20140102:1009,20912760.0,710.63,31.92,15.88,3.69,0.0
20140102:1109,10974240.0,373.89,31.04,15.97,3.75,0.0
20140102:1209,4851720.0,176.55,26.87,16.05,3.81,0.0
20140102:1309,7382880.0,257.42,20.02,16.09,3.13,0.0
20140102:1409,3715200.0,140.4,11.2,16.13,2.46,0.0
20140102:1509,0.0,0.0,0.0,16.17,1.78,0.0
20140102:1609,0.0,0.0,0.0,16.0,2.59,0.0
20140102:1709,0.0,0.0,0.0,15.83,3.4,0.0
20140102:1809,0.0,0.0,0.0,15.65,4.21,0.0
20140102:1909,0.0,0.0,0.0,15.53,3.89,0.0
20140102:2009,0.0,0.0,0.0,15.41,3.57,0.0
20140102:2109,0.0,0.0,0.0,15.29,3.26,0.0
20140102:2209,0.0,0.0,0.0,15.28,3.15,0.0
20140102:2309,0.0,0.0,0.0,15.27,3.05,0.0
20140103:0009,0.0,0.0,0.0,15.26,2.95,0.0
20140103:0109,0.0,0.0,0.0,15.32,2.88,0.0
20140103:0209,0.0,0.0,0.0,15.39,2.81,0.0
20140103:0309,0.0,0.0,0.0,15.45,2.74,0.0
20140103:0409,0.0,0.0,0.0,15.41,2.78,0.0
20140103:0509,0.0,0.0,0.0,15.36,2.82,0.0
20140103:0609,4680720.0,176.98,6.36,15.31,2.86,0.0
20140103:0709,9624960.0,330.75,15.93,15.31,2.32,0.0
20140103:0809,17371440.0,593.7,23.86,15.3,1.79,0.0
20140103:0909,20356560.0,707.11,29.45,15.3,1.26,0.0
20140103:1009,7283520.0,256.29,32.01,15.36,1.43,0.0
20140103:1109,1840680.0,77.57,31.15,15.41,1.61,0.0
20140103:1209,21867840.0,757.31,27.0,15.47,1.79,0.0
20140103:1309,4725000.0,172.47,20.16,15.48,1.42,0.0
20140103:1409,692280.0,36.89,11.33,15.5,1.04,0.0
20140103:1509,0.0,0.0,0.0,15.51,0.66,0.0
20140103:1609,0.0,0.0,0.0,15.39,1.36,0.0
20140103:1709,0.0,0.0,0.0,15.27,2.05,0.0
20140103:1809,0.0,0.0,0.0,15.15,2.74,0.0
20140103:1909,0.0,0.0,0.0,15.02,2.91,0.0
20140103:2009,0.0,0.0,0.0,14.88,3.09,0.0
20140103:2109,0.0,0.0,0.0,14.74,3.26,0.0
20140103:2209,0.0,0.0,0.0,14.73,3.39,0.0
20140103:2309,0.0,0.0,0.0,14.71,3.52,0.0
20140104:0009,0.0,0.0,0.0,14.7,3.66,0.0
20140104:0109,0.0,0.0,0.0,14.69,4.11,0.0
20140104:0209,0.0,0.0,0.0,14.68,4.57,0.0
20140104:0309,0.0,0.0,0.0,14.67,5.02,0.0
20140104:0409,0.0,0.0,0.0,14.64,4.85,0.0
20140104:0509,0.0,0.0,0.0,14.6,4.68,0.0
20140104:0609,3884040.0,148.91,6.35,14.56,4.51,0.0
20140104:0709,8136000.0,279.17,15.95,14.57,4.59,0.0
20140104:0809,17784000.0,592.7,23.89,14.57,4.67,0.0
20140104:0909,24046200.0,809.13,29.51,14.57,4.74,0.0
20140104:1009,25831080.0,877.66,32.1,14.76,4.35,0.0
20140104:1109,22648680.0,766.78,31.27,14.94,3.96,0.0
20140104:1209,11517120.0,389.65,27.13,15.13,3.57,0.0
20140104:1309,2468160.0,98.38,20.3,15.2,3.88,0.0
20140104:1409,10011960.0,345.31,11.48,15.27,4.19,0.0
20140104:1509,0.0,0.0,0.0,15.34,4.5,0.0
20140104:1609,0.0,0.0,0.0,15.27,4.73,0.0
20140104:1709,0.0,0.0,0.0,15.2,4.97,0.0
20140104:1809,0.0,0.0,0.0,15.12,5.2,0.0
20140104:1909,0.0,0.0,0.0,15.12,4.84,0.0
20140104:2009,0.0,0.0,0.0,15.12,4.48,0.0
20140104:2109,0.0,0.0,0.0,15.11,4.12,0.0
20140104:2209,0.0,0.0,0.0,15.18,3.69,0.0
20140104:2309,0.0,0.0,0.0,15.25,3.25,0.0
20140105:0009,0.0,0.0,0.0,15.32,2.81,0.0
20140105:0109,0.0,0.0,0.0,15.27,2.97,0.0
20140105:0209,0.0,0.0,0.0,15.21,3.14,0.0
20140105:0309,0.0,0.0,0.0,15.16,3.3,0.0
20140105:0409,0.0,0.0,0.0,15.15,3.49,0.0
20140105:0509,0.0,0.0,0.0,15.14,3.67,0.0
20140105:0609,4434480.0,168.33,6.35,15.12,3.86,0.0
20140105:0709,13506120.0,458.26,15.97,15.2,3.03,0.0
20140105:0809,20175480.0,690.48,23.94,15.27,2.21,0.0
20140105:0909,24084000.0,847.2,29.58,15.34,1.38,0.0
20140105:1009,21677400.0,751.42,32.21,15.46,1.84,0.0
20140105:1109,24308280.0,844.94,31.39,15.58,2.31,0.0
20140105:1209,21357000.0,730.59,27.27,15.7,2.77,0.0
20140105:1309,15979680.0,542.96,20.44,15.69,2.48,0.0
20140105:1409,9682200.0,337.51,11.62,15.69,2.19,0.0
20140105:1509,0.0,0.0,0.0,15.68,1.9,0.0
20140105:1609,0.0,0.0,0.0,15.56,1.54,0.0
20140105:1709,0.0,0.0,0.0,15.44,1.18,0.0
