time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0009,0.0,0.0,0.0,12.39,1.3,0.0
20140101:0109,0.0,0.0,0.0,12.63,1.16,0.0
20140101:0209,0.0,0.0,0.0,12.86,1.02,0.0
20140101:0309,0.0,0.0,0.0,13.1,0.88,0.0
20140101:0409,0.0,0.0,0.0,13.0,0.85,0.0
20140101:0509,0.0,0.0,0.0,12.91,0.82,0.0
20140101:0609,0.0,5.68,5.55,12.81,0.79,0.0
20140101:0709,2767200.0,41.62,15.1,12.8,0.75,0.0
20140101:0809,10900800.0,124.12,23.03,12.78,0.72,0.0
20140101:0909,8858400.0,104.06,28.66,12.76,0.69,0.0
20140101:1009,54693600.0,561.35,31.33,12.97,0.74,0.0
20140101:1109,35588400.0,365.37,30.62,13.17,0.78,0.0
20140101:1209,66162000.0,685.24,26.65,13.38,0.83,0.0
20140101:1309,28194000.0,291.86,19.99,13.88,0.98,0.0
20140101:1409,11864400.0,134.53,11.32,14.38,1.13,0.0
20140101:1509,0.0,0.0,0.0,14.88,1.28,0.0
20140101:1609,0.0,0.0,0.0,14.69,1.2,0.0
20140101:1709,0.0,0.0,0.0,14.51,1.11,0.0
20140101:1809,0.0,0.0,0.0,14.32,1.02,0.0
20140101:1909,0.0,0.0,0.0,14.05,0.85,0.0
20140101:2009,0.0,0.0,0.0,13.79,0.68,0.0
20140101:2109,0.0,0.0,0.0,13.52,0.51,0.0
20140101:2209,0.0,0.0,0.0,13.25,0.83,0.0
20140101:2309,0.0,0.0,0.0,12.98,1.15,0.0
20140102:0009,0.0,0.0,0.0,12.7,1.48,0.0
20140102:0109,0.0,0.0,0.0,12.88,1.33,0.0
20140102:0209,0.0,0.0,0.0,13.05,1.19,0.0
20140102:0309,0.0,0.0,0.0,13.23,1.05,0.0
20140102:0409,0.0,0.0,0.0,13.2,1.31,0.0
20140102:0509,0.0,0.0,0.0,13.18,1.57,0.0
20140102:0609,5086800.0,67.93,5.53,13.15,1.83,0.0
20140102:0709,14796000.0,161.17,15.1,13.13,2.3,0.0
20140102:0809,8589600.0,101.22,23.05,13.11,2.77,0.0
20140102:0909,11206800.0,126.76,28.71,13.08,3.24,0.0
20140102:1009,6496800.0,80.41,31.41,13.23,3.39,0.0
20140102:1109,3464400.0,49.19,30.73,13.39,3.54,0.0
20140102:1209,3196800.0,46.35,26.77,13.54,3.68,0.0
20140102:1309,18286800.0,194.58,20.11,13.54,2.84,0.0
20140102:1409,3193200.0,46.35,11.45,13.54,2.0,0.0
20140102:1509,0.0,0.0,0.0,13.55,1.16,0.0
20140102:1609,0.0,0.0,0.0,13.4,1.23,0.0
20140102:1709,0.0,0.0,0.0,13.26,1.3,0.0
20140102:1809,0.0,0.0,0.0,13.11,1.37,0.0
20140102:1909,0.0,0.0,0.0,13.06,1.3,0.0
20140102:2009,0.0,0.0,0.0,13.01,1.23,0.0
20140102:2109,0.0,0.0,0.0,12.96,1.16,0.0
20140102:2209,0.0,0.0,0.0,12.89,1.08,0.0
20140102:2309,0.0,0.0,0.0,12.81,1.0,0.0
20140103:0009,0.0,0.0,0.0,12.73,0.92,0.0
20140103:0109,0.0,0.0,0.0,12.85,0.9,0.0
20140103:0209,0.0,0.0,0.0,12.96,0.88,0.0
20140103:0309,0.0,0.0,0.0,13.08,0.86,0.0
20140103:0409,0.0,0.0,0.0,13.02,0.93,0.0
20140103:0509,0.0,0.0,0.0,12.97,1.01,0.0
20140103:0609,13142400.0,152.56,5.52,12.91,1.09,0.0
20140103:0709,23086800.0,241.4,15.11,12.94,1.26,0.0
20140103:0809,65362800.0,668.6,23.08,12.97,1.43,0.0
20140103:0909,79742400.0,826.85,28.77,12.99,1.6,0.0
20140103:1009,84561600.0,881.67,31.49,13.02,1.71,0.0
20140103:1109,85498800.0,890.37,30.84,13.06,1.83,0.0
20140103:1209,75694800.0,777.1,26.9,13.09,1.94,0.0
20140103:1309,57494400.0,584.3,20.25,13.18,1.65,0.0
20140103:1409,28333200.0,295.51,11.59,13.26,1.35,0.0
20140103:1509,0.0,0.0,0.0,13.35,1.05,0.0
20140103:1609,0.0,0.0,0.0,13.21,0.98,0.0
20140103:1709,0.0,0.0,0.0,13.08,0.91,0.0
20140103:1809,0.0,0.0,0.0,12.95,0.84,0.0
20140103:1909,0.0,0.0,0.0,12.92,1.03,0.0
20140103:2009,0.0,0.0,0.0,12.9,1.21,0.0
20140103:2109,0.0,0.0,0.0,12.87,1.39,0.0
20140103:2209,0.0,0.0,0.0,12.81,1.42,0.0
20140103:2309,0.0,0.0,0.0,12.75,1.45,0.0
20140104:0009,0.0,0.0,0.0,12.68,1.48,0.0
20140104:0109,0.0,0.0,0.0,12.72,1.34,0.0
20140104:0209,0.0,0.0,0.0,12.76,1.2,0.0
20140104:0309,0.0,0.0,0.0,12.8,1.06,0.0
20140104:0409,0.0,0.0,0.0,12.75,1.04,0.0
20140104:0509,0.0,0.0,0.0,12.7,1.03,0.0
20140104:0609,14448000.0,166.14,5.51,12.65,1.01,0.0
20140104:0709,23488800.0,245.09,15.12,12.68,1.2,0.0
20140104:0809,10921200.0,124.11,23.12,12.71,1.39,0.0
20140104:0909,56055600.0,568.68,28.83,12.74,1.59,0.0
20140104:1009,39282000.0,398.45,31.59,12.89,1.95,0.0
20140104:1109,59386800.0,600.48,30.95,13.05,2.31,0.0
20140104:1209,72522000.0,736.25,27.03,13.2,2.68,0.0
20140104:1309,54550800.0,551.14,20.39,13.21,2.12,0.0
20140104:1409,10530000.0,120.58,11.73,13.22,1.57,0.0
20140104:1509,0.0,0.0,0.0,13.24,1.02,0.0
20140104:1609,0.0,0.0,0.0,13.17,0.92,0.0
20140104:1709,0.0,0.0,0.0,13.11,0.83,0.0
20140104:1809,0.0,0.0,0.0,13.04,0.73,0.0
20140104:1909,0.0,0.0,0.0,13.11,0.89,0.0
20140104:2009,0.0,0.0,0.0,13.18,1.04,0.0
20140104:2109,0.0,0.0,0.0,13.24,1.2,0.0
20140104:2209,0.0,0.0,0.0,13.21,1.02,0.0
20140104:2309,0.0,0.0,0.0,13.18,0.83,0.0
20140105:0009,0.0,0.0,0.0,13.15,0.65,0.0
20140105:0109,0.0,0.0,0.0,13.1,0.84,0.0
20140105:0209,0.0,0.0,0.0,13.06,1.03,0.0
20140105:0309,0.0,0.0,0.0,13.01,1.23,0.0
20140105:0409,0.0,0.0,0.0,13.0,1.15,0.0
20140105:0509,0.0,0.0,0.0,12.99,1.07,0.0
20140105:0609,13051200.0,151.89,5.51,12.98,0.99,0.0
20140105:0709,44496000.0,456.48,15.14,13.11,0.88,0.0
20140105:0809,63712800.0,658.17,23.16,13.23,0.76,0.0
20140105:0909,69328800.0,723.52,28.91,13.35,0.65,0.0
20140105:1009,81160800.0,856.66,31.69,13.47,0.97,0.0
20140105:1109,77906400.0,813.77,31.08,13.58,1.3,0.0
20140105:1209,69915600.0,719.29,27.17,13.7,1.63,0.0
20140105:1309,25726800.0,267.1,20.54,13.76,1.44,0.0
20140105:1409,8430000.0,100.15,11.88,13.82,1.26,0.0
20140105:1509,0.0,0.0,0.0,13.88,1.08,0.0
20140105:1609,0.0,0.0,0.0,13.78,1.16,0.0
20140105:1709,0.0,0.0,0.0,13.69,1.24,0.0
20140105:1809,0.0,0.0,0.0,13.59,1.32,0.0
20140105:1909,0.0,0.0,0.0,13.61,1.31,0.0
20140105:2009,0.0,0.0,0.0,13.64,1.31,0.0
20140105:2109,0.0,0.0,0.0,13.66,1.3,0.0
20140105:2209,0.0,0.0,0.0,13.6,1.26,0.0
20140105:2309,0.0,0.0,0.0,13.54,1.21,0.0
20140106:0009,0.0,0.0,0.0,13.48,1.17,0.0
20140106:0109,0.0,0.0,0.0,13.54,1.1,0.0
